127.0.0.1 - - [08/Nov/2021:19:31:06 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [08/Nov/2021:19:31:08 -0300] "GET /JSPs/index.jsp HTTP/1.1" 200 5294
0:0:0:0:0:0:0:1 - - [08/Nov/2021:19:31:08 -0300] "GET /JSPs/resources/js/jquery-3.6.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Nov/2021:19:31:08 -0300] "GET /JSPs/resources/js/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Nov/2021:19:31:08 -0300] "GET /JSPs/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Nov/2021:19:31:13 -0300] "GET /JSPs/index.jsp HTTP/1.1" 200 5294
0:0:0:0:0:0:0:1 - - [08/Nov/2021:19:31:13 -0300] "GET /JSPs/resources/js/jquery-3.6.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Nov/2021:19:31:13 -0300] "GET /JSPs/resources/js/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Nov/2021:19:31:13 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [08/Nov/2021:19:31:21 -0300] "GET /JSPs/dieta?acao=listar HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [08/Nov/2021:19:31:21 -0300] "GET /JSPs/pressao?acao=listar HTTP/1.1" 200 18127
0:0:0:0:0:0:0:1 - - [08/Nov/2021:19:31:36 -0300] "GET /JSPs/pressao?acao=abrir-form-edicao&codigo=2 HTTP/1.1" 200 5968
0:0:0:0:0:0:0:1 - - [08/Nov/2021:19:31:48 -0300] "POST /JSPs/pressao HTTP/1.1" 200 18194
0:0:0:0:0:0:0:1 - - [08/Nov/2021:19:31:59 -0300] "POST /JSPs/pressao HTTP/1.1" 200 17745
